"area_id","area_name","area_level_label","time_step","time_period","plot","value"
"MWI","Malawi - Demo","Country","annual","CY2011Q4","art_total",322148
"MWI","Malawi - Demo","Country","annual","CY2011Q4","art_adult_f",199859.88
"MWI","Malawi - Demo","Country","annual","CY2011Q4","art_adult_m",102958
"MWI","Malawi - Demo","Country","annual","CY2011Q4","art_adult",302818
"MWI","Malawi - Demo","Country","annual","CY2011Q4","art_child",19330
"MWI","Malawi - Demo","Country","annual","CY2011Q4","art_adult_sex_ratio",1.94117873307562
"MWI","Malawi - Demo","Country","annual","CY2011Q4","art_adult_child_ratio",15.6657009829281
"MWI","Malawi - Demo","Country","annual","CY2011Q4","art_prop_u15",0.06
"MWI","Malawi - Demo","Country","quarter","CY2011Q1","art_total",135303
"MWI","Malawi - Demo","Country","quarter","CY2011Q1","art_adult_f",83941.44
"MWI","Malawi - Demo","Country","quarter","CY2011Q1","art_adult_m",43243
"MWI","Malawi - Demo","Country","quarter","CY2011Q1","art_adult",127184
"MWI","Malawi - Demo","Country","quarter","CY2011Q1","art_child",8119
"MWI","Malawi - Demo","Country","quarter","CY2011Q1","art_adult_sex_ratio",1.94115671900654
"MWI","Malawi - Demo","Country","quarter","CY2011Q1","art_adult_child_ratio",15.6649833723365
"MWI","Malawi - Demo","Country","quarter","CY2011Q1","art_prop_u15",0.06
"MWI","Malawi - Demo","Country","quarter","CY2011Q2","art_total",202954
"MWI","Malawi - Demo","Country","quarter","CY2011Q2","art_adult_f",125911.5
"MWI","Malawi - Demo","Country","quarter","CY2011Q2","art_adult_m",64864
"MWI","Malawi - Demo","Country","quarter","CY2011Q2","art_adult",190775
"MWI","Malawi - Demo","Country","quarter","CY2011Q2","art_child",12179
"MWI","Malawi - Demo","Country","quarter","CY2011Q2","art_adult_sex_ratio",1.94116150715343
"MWI","Malawi - Demo","Country","quarter","CY2011Q2","art_adult_child_ratio",15.6642581492733
"MWI","Malawi - Demo","Country","quarter","CY2011Q2","art_prop_u15",0.06
"MWI","Malawi - Demo","Country","quarter","CY2011Q3","art_total",270604
"MWI","Malawi - Demo","Country","quarter","CY2011Q3","art_adult_f",167882.22
"MWI","Malawi - Demo","Country","quarter","CY2011Q3","art_adult_m",86485
"MWI","Malawi - Demo","Country","quarter","CY2011Q3","art_adult",254367
"MWI","Malawi - Demo","Country","quarter","CY2011Q3","art_child",16237
"MWI","Malawi - Demo","Country","quarter","CY2011Q3","art_adult_sex_ratio",1.94117153263572
"MWI","Malawi - Demo","Country","quarter","CY2011Q3","art_adult_child_ratio",15.6658865553982
"MWI","Malawi - Demo","Country","quarter","CY2011Q3","art_prop_u15",0.06
"MWI","Malawi - Demo","Country","quarter","CY2011Q4","art_total",35436
"MWI","Malawi - Demo","Country","quarter","CY2011Q4","art_adult_f",21984.6
"MWI","Malawi - Demo","Country","quarter","CY2011Q4","art_adult_m",11325
"MWI","Malawi - Demo","Country","quarter","CY2011Q4","art_adult",33310
"MWI","Malawi - Demo","Country","quarter","CY2011Q4","art_child",2126
"MWI","Malawi - Demo","Country","quarter","CY2011Q4","art_adult_sex_ratio",1.94124503311258
"MWI","Malawi - Demo","Country","quarter","CY2011Q4","art_adult_child_ratio",15.6679209783631
"MWI","Malawi - Demo","Country","quarter","CY2011Q4","art_prop_u15",0.06
"MWI","Malawi - Demo","Country","annual","CY2012Q4","art_total",400751
"MWI","Malawi - Demo","Country","annual","CY2012Q4","art_adult_f",248625.96
"MWI","Malawi - Demo","Country","annual","CY2012Q4","art_adult_m",128080
"MWI","Malawi - Demo","Country","annual","CY2012Q4","art_adult",376706
"MWI","Malawi - Demo","Country","annual","CY2012Q4","art_child",24045
"MWI","Malawi - Demo","Country","annual","CY2012Q4","art_adult_sex_ratio",1.94117707682698
"MWI","Malawi - Demo","Country","annual","CY2012Q4","art_adult_child_ratio",15.6667082553545
"MWI","Malawi - Demo","Country","annual","CY2012Q4","art_prop_u15",0.06
"MWI","Malawi - Demo","Country","quarter","CY2012Q1","art_total",168315
"MWI","Malawi - Demo","Country","quarter","CY2012Q1","art_adult_f",104421.9
"MWI","Malawi - Demo","Country","quarter","CY2012Q1","art_adult_m",53793
"MWI","Malawi - Demo","Country","quarter","CY2012Q1","art_adult",158215
"MWI","Malawi - Demo","Country","quarter","CY2012Q1","art_child",10100
"MWI","Malawi - Demo","Country","quarter","CY2012Q1","art_adult_sex_ratio",1.94118007919246
"MWI","Malawi - Demo","Country","quarter","CY2012Q1","art_adult_child_ratio",15.6648514851485
"MWI","Malawi - Demo","Country","quarter","CY2012Q1","art_prop_u15",0.06
"MWI","Malawi - Demo","Country","quarter","CY2012Q2","art_total",252474
"MWI","Malawi - Demo","Country","quarter","CY2012Q2","art_adult_f",156634.5
"MWI","Malawi - Demo","Country","quarter","CY2012Q2","art_adult_m",80690
"MWI","Malawi - Demo","Country","quarter","CY2012Q2","art_adult",237325
"MWI","Malawi - Demo","Country","quarter","CY2012Q2","art_child",15149
"MWI","Malawi - Demo","Country","quarter","CY2012Q2","art_adult_sex_ratio",1.94118849919445
"MWI","Malawi - Demo","Country","quarter","CY2012Q2","art_adult_child_ratio",15.6660505643937
"MWI","Malawi - Demo","Country","quarter","CY2012Q2","art_prop_u15",0.06
"MWI","Malawi - Demo","Country","quarter","CY2012Q3","art_total",336630
"MWI","Malawi - Demo","Country","quarter","CY2012Q3","art_adult_f",208845.12
"MWI","Malawi - Demo","Country","quarter","CY2012Q3","art_adult_m",107587
"MWI","Malawi - Demo","Country","quarter","CY2012Q3","art_adult",316432
"MWI","Malawi - Demo","Country","quarter","CY2012Q3","art_child",20198
"MWI","Malawi - Demo","Country","quarter","CY2012Q3","art_adult_sex_ratio",1.94117430544583
"MWI","Malawi - Demo","Country","quarter","CY2012Q3","art_adult_child_ratio",15.6665016338251
"MWI","Malawi - Demo","Country","quarter","CY2012Q3","art_prop_u15",0.06
"MWI","Malawi - Demo","Country","quarter","CY2012Q4","art_total",44082
"MWI","Malawi - Demo","Country","quarter","CY2012Q4","art_adult_f",27349.08
"MWI","Malawi - Demo","Country","quarter","CY2012Q4","art_adult_m",14089
"MWI","Malawi - Demo","Country","quarter","CY2012Q4","art_adult",41438
"MWI","Malawi - Demo","Country","quarter","CY2012Q4","art_child",2644
"MWI","Malawi - Demo","Country","quarter","CY2012Q4","art_adult_sex_ratio",1.94116544822202
"MWI","Malawi - Demo","Country","quarter","CY2012Q4","art_adult_child_ratio",15.6724659606657
"MWI","Malawi - Demo","Country","quarter","CY2012Q4","art_prop_u15",0.06
"MWI","Malawi - Demo","Country","annual","CY2013Q4","art_total",461678
"MWI","Malawi - Demo","Country","annual","CY2013Q4","art_adult_f",286424.82
"MWI","Malawi - Demo","Country","annual","CY2013Q4","art_adult_m",147552
"MWI","Malawi - Demo","Country","annual","CY2013Q4","art_adult",433977
"MWI","Malawi - Demo","Country","annual","CY2013Q4","art_child",27701
"MWI","Malawi - Demo","Country","annual","CY2013Q4","art_adult_sex_ratio",1.94117883864671
"MWI","Malawi - Demo","Country","annual","CY2013Q4","art_adult_child_ratio",15.6664741345078
"MWI","Malawi - Demo","Country","annual","CY2013Q4","art_prop_u15",0.06
"MWI","Malawi - Demo","Country","quarter","CY2013Q1","art_total",193904
"MWI","Malawi - Demo","Country","quarter","CY2013Q1","art_adult_f",120298.2
"MWI","Malawi - Demo","Country","quarter","CY2013Q1","art_adult_m",61972
"MWI","Malawi - Demo","Country","quarter","CY2013Q1","art_adult",182270
"MWI","Malawi - Demo","Country","quarter","CY2013Q1","art_child",11634
"MWI","Malawi - Demo","Country","quarter","CY2013Q1","art_adult_sex_ratio",1.94117020589944
"MWI","Malawi - Demo","Country","quarter","CY2013Q1","art_adult_child_ratio",15.6670104865051
"MWI","Malawi - Demo","Country","quarter","CY2013Q1","art_prop_u15",0.06
"MWI","Malawi - Demo","Country","quarter","CY2013Q2","art_total",290856
"MWI","Malawi - Demo","Country","quarter","CY2013Q2","art_adult_f",180447.3
"MWI","Malawi - Demo","Country","quarter","CY2013Q2","art_adult_m",92958
"MWI","Malawi - Demo","Country","quarter","CY2013Q2","art_adult",273405
"MWI","Malawi - Demo","Country","quarter","CY2013Q2","art_child",17451
"MWI","Malawi - Demo","Country","quarter","CY2013Q2","art_adult_sex_ratio",1.94117020589944
"MWI","Malawi - Demo","Country","quarter","CY2013Q2","art_adult_child_ratio",15.6670104865051
"MWI","Malawi - Demo","Country","quarter","CY2013Q2","art_prop_u15",0.06
"MWI","Malawi - Demo","Country","quarter","CY2013Q3","art_total",387808
"MWI","Malawi - Demo","Country","quarter","CY2013Q3","art_adult_f",240596.4
"MWI","Malawi - Demo","Country","quarter","CY2013Q3","art_adult_m",123944
"MWI","Malawi - Demo","Country","quarter","CY2013Q3","art_adult",364540
"MWI","Malawi - Demo","Country","quarter","CY2013Q3","art_child",23268
"MWI","Malawi - Demo","Country","quarter","CY2013Q3","art_adult_sex_ratio",1.94117020589944
"MWI","Malawi - Demo","Country","quarter","CY2013Q3","art_adult_child_ratio",15.6670104865051
"MWI","Malawi - Demo","Country","quarter","CY2013Q3","art_prop_u15",0.06
"MWI","Malawi - Demo","Country","quarter","CY2013Q4","art_total",50785
"MWI","Malawi - Demo","Country","quarter","CY2013Q4","art_adult_f",31507.08
"MWI","Malawi - Demo","Country","quarter","CY2013Q4","art_adult_m",16231
"MWI","Malawi - Demo","Country","quarter","CY2013Q4","art_adult",47738
"MWI","Malawi - Demo","Country","quarter","CY2013Q4","art_child",3047
"MWI","Malawi - Demo","Country","quarter","CY2013Q4","art_adult_sex_ratio",1.94116690284024
"MWI","Malawi - Demo","Country","quarter","CY2013Q4","art_adult_child_ratio",15.6672136527732
"MWI","Malawi - Demo","Country","quarter","CY2013Q4","art_prop_u15",0.06
"MWI","Malawi - Demo","Country","annual","CY2014Q4","art_total",536453
"MWI","Malawi - Demo","Country","annual","CY2014Q4","art_adult_f",332816.22
"MWI","Malawi - Demo","Country","annual","CY2014Q4","art_adult_m",171451
"MWI","Malawi - Demo","Country","annual","CY2014Q4","art_adult",504267
"MWI","Malawi - Demo","Country","annual","CY2014Q4","art_child",32186
"MWI","Malawi - Demo","Country","annual","CY2014Q4","art_adult_sex_ratio",1.94117397973765
"MWI","Malawi - Demo","Country","annual","CY2014Q4","art_adult_child_ratio",15.6672776983782
"MWI","Malawi - Demo","Country","annual","CY2014Q4","art_prop_u15",0.06
"MWI","Malawi - Demo","Country","quarter","CY2014Q1","art_total",225309
"MWI","Malawi - Demo","Country","quarter","CY2014Q1","art_adult_f",139782.06
"MWI","Malawi - Demo","Country","quarter","CY2014Q1","art_adult_m",72009
"MWI","Malawi - Demo","Country","quarter","CY2014Q1","art_adult",211791
"MWI","Malawi - Demo","Country","quarter","CY2014Q1","art_child",13518
"MWI","Malawi - Demo","Country","quarter","CY2014Q1","art_adult_sex_ratio",1.94117485314336
"MWI","Malawi - Demo","Country","quarter","CY2014Q1","art_adult_child_ratio",15.6673324456281
"MWI","Malawi - Demo","Country","quarter","CY2014Q1","art_prop_u15",0.06
"MWI","Malawi - Demo","Country","quarter","CY2014Q2","art_total",337966
"MWI","Malawi - Demo","Country","quarter","CY2014Q2","art_adult_f",209674.08
"MWI","Malawi - Demo","Country","quarter","CY2014Q2","art_adult_m",108014
"MWI","Malawi - Demo","Country","quarter","CY2014Q2","art_adult",317688
