area_id,sex,agegr_id,indicator,time,mean,se,median,lower,upper
MWI,male,14,population,2016.25,896340.685632967,NA,896340.685632967,896340.685632967,896340.685632967
MWI,male,15,population,2016.25,734375.800634613,NA,734375.800634613,734375.800634613,734375.800634613
MWI,male,16,population,2016.25,605800.368422203,NA,605800.368422203,605800.368422203,605800.368422203
MWI,male,17,population,2016.25,494902.686906919,NA,494902.686906919,494902.686906919,494902.686906919
MWI,male,18,population,2016.25,402357.308909842,NA,402357.308909842,402357.308909842,402357.308909842
MWI,male,19,population,2016.25,322991.266992674,NA,322991.266992674,322991.266992674,322991.266992674
MWI,male,20,population,2016.25,247878.091230822,NA,247878.091230822,247878.091230822,247878.091230822
MWI,male,29,population,2016.25,667371.670307472,NA,667371.670307472,667371.670307472,667371.670307472
MWI,female,14,population,2016.25,944336.456841249,NA,944336.456841249,944336.456841249,944336.456841249
MWI,female,15,population,2016.25,780526.205155618,NA,780526.205155618,780526.205155618,780526.205155618
MWI,female,16,population,2016.25,654059.446869387,NA,654059.446869387,654059.446869387,654059.446869387
MWI,female,17,population,2016.25,545465.749194132,NA,545465.749194132,545465.749194132,545465.749194132
MWI,female,18,population,2016.25,441264.638224555,NA,441264.638224555,441264.638224555,441264.638224555
MWI,female,19,population,2016.25,352964.480871621,NA,352964.480871621,352964.480871621,352964.480871621
MWI,female,20,population,2016.25,272351.981531455,NA,272351.981531455,272351.981531455,272351.981531455
MWI,female,29,population,2016.25,785565.626408458,NA,785565.626408458,785565.626408458,785565.626408458
MWI,male,14,plhiv,2016.25,9565.42993792189,1919.7326237748,9433.57413805414,6160.69716764564,13615.0506152306
MWI,male,15,plhiv,2016.25,12033.8681049588,2215.07541550832,11875.7165406573,8088.13872049999,16707.4077581012
MWI,male,16,plhiv,2016.25,35142.3933232475,3924.92728429063,35013.7786463381,28119.5256538589,42971.5422006827
MWI,male,17,plhiv,2016.25,54181.2616348262,4340.60639160016,54105.0861589997,45947.8007430641,63108.2493424103
MWI,male,18,plhiv,2016.25,52793.7451883111,4125.84388094055,52688.0335552034,45240.6406686774,60955.9191483114
MWI,male,19,plhiv,2016.25,53258.1605803415,4253.96236152667,53112.6768521251,45191.6313119124,61658.0800643594
MWI,male,20,plhiv,2016.25,49697.4190721763,3924.63417787543,49680.0506011634,42115.0577687889,57450.5234285393
MWI,male,29,plhiv,2016.25,77507.5432097622,6455.52131823789,77258.6364090044,65754.5047854848,90785.3505717784
MWI,female,14,plhiv,2016.25,22686.276717796,2861.38580730706,22585.5854757467,17380.6707359618,28512.5824611547
MWI,female,15,plhiv,2016.25,47279.8583121442,3565.22659239841,47119.1682257862,40566.7623142091,54971.5937874844
MWI,female,16,plhiv,2016.25,70485.3745027886,4247.99587072483,70490.1836215915,62342.4856084194,78934.0412231304
MWI,female,17,plhiv,2016.25,88737.1889675855,4431.95942510569,88636.1777093418,80446.7008772234,97913.9563757189
MWI,female,18,plhiv,2016.25,92910.3102906807,4553.65103991436,92828.2673226231,84143.1073901021,101771.152226129
